feature,dtype,null_pct,corr_with_log_pedestrians
log_ped_rolling_mean3,float64,1.75,0.815
log_corridor_expanding_mean,float64,1.75,0.807
ped_score,float64,0.0,0.743
pre_covid_corridor_mean,float64,0.0,0.721
corridor_expanding_mean,float64,1.75,0.718
ped_rolling_mean3,float64,1.75,0.716
log_ped_lag1,float64,1.75,0.699
log_ped_lag2,float64,3.5,0.698
ped_lag2,float64,3.5,0.637
ped_lag1,float64,1.75,0.62
recovery_ratio,float64,0.0,0.394
poi_nightlife_missing,int64,0.0,-0.379
poi_tourism_missing,int64,0.0,-0.379
poi_school_missing,int64,0.0,-0.379
poi_retail_missing,int64,0.0,-0.379
poi_total_missing,int64,0.0,-0.379
poi_subway_missing,int64,0.0,-0.379
poi_office_missing,int64,0.0,-0.379
poi_dining_missing,int64,0.0,-0.379
citibike_load_score,float64,0.0,0.301
ped_rolling_std3,float64,3.5,0.295
citibike_trip_count,float64,0.0,0.27
avg_temperature_f,float64,0.0,0.247
tlc_yellow_trips,float64,0.0,0.205
poi_subway,float64,0.0,0.193
poi_retail,float64,0.0,0.172
ped_yoy_ratio,float64,8.63,0.169
poi_total,float64,0.0,0.154
poi_density_score,float64,0.0,0.154
tlc_hvfhv_avg_fare_missing,int64,0.0,0.148
tlc_trip_count,float64,0.0,0.148
event_count,float64,0.0,-0.143
event_intensity_score,float64,0.0,-0.143
tlc_load_score,float64,0.0,0.132
citibike_trip_count_missing,int64,0.0,-0.126
avg_wind_kmh,float64,0.0,0.12
tlc_trip_count_missing,int64,0.0,-0.118
tlc_yellow_trips_missing,int64,0.0,-0.118
tlc_hvfhv_trips_missing,int64,0.0,-0.118
tlc_yellow_avg_fare_missing,int64,0.0,-0.118
years_since_2020,int64,0.0,-0.116
tlc_hvfhv_avg_fare,float64,0.0,-0.109
poi_dining,float64,0.0,0.109
poi_school,float64,0.0,-0.103
years_since_covid,float64,0.0,-0.097
quarter,int64,0.0,-0.096
sunset_hour,float64,0.0,0.087
day_length_hr,float64,0.0,0.08
poi_tourism,float64,0.0,0.076
month_cos,float64,0.0,-0.074
sunrise_hour,float64,0.0,-0.07
mta_ridership_total,float64,0.0,0.061
mta_load_score,float64,0.0,0.061
is_post_covid,int64,0.0,-0.061
dow_cos,float64,0.0,0.061
tlc_hvfhv_trips,float64,0.0,-0.053
mta_ridership_avg,float64,0.0,0.05
mta_transfers_total,float64,0.0,0.05
day_of_year,int64,0.0,-0.047
tlc_yellow_avg_fare,float64,0.0,0.047
week_of_year,int64,0.0,-0.046
poi_office,float64,0.0,-0.039
weekend_dining_score,float64,0.0,0.038
poi_nightlife,float64,0.0,-0.035
dominant_weather_code,int64,0.0,0.034
mta_station_count,float64,0.0,0.034
mta_ridership_total_missing,int64,0.0,-0.027
mta_transfers_total_missing,int64,0.0,-0.027
mta_station_count_missing,int64,0.0,-0.027
mta_ridership_avg_missing,int64,0.0,-0.027
precip_mm,float64,0.0,-0.024
day_of_week,int32,0.0,-0.023
dow_sin,float64,0.0,0.016
month_sin,float64,0.0,0.012
is_weekend,int64,0.0,0.007
event_count_missing,int64,0.0,-0.004
weather_category,object,0.0,
is_holiday,int64,0.0,
is_school_break,int64,0.0,
